trial_id,random_state,dataset_fraction,dataset_rows,aggregate,method,exact_result,estimated_result,relative_error,time_seconds,sample_fraction,sample_size,confidence_interval_lower,confidence_interval_upper,relative_error_estimate
2,294,0.25,2500,SUM,Adaptive Sampling,1064610.01,988022.4666666667,0.07193952960608865,0.0009534999999232241,0.15000000000000002,375,902191.0053503467,1073853.9279829867,0.08687197327191681
2,294,0.25,2500,AVG,Exact Query,425.844004,425.844004,0.0,2.8100000236008782e-05,1.0,2500,425.844004,425.844004,0.0
2,294,0.25,2500,AVG,Uniform Sampling,425.844004,397.76171999999997,0.06594500271512574,0.0002451999998811516,0.1,250,,,
2,294,0.25,2500,AVG,Stratified Sampling,425.844004,400.30721617850077,0.059967470673836745,0.002323100000012346,0.1,249,,,
2,294,0.25,2500,AVG,Adaptive Sampling,425.844004,395.20898666666665,0.07193952960608867,0.0009208999999827938,0.15000000000000002,375,360.8764021401387,429.5415711931946,0.08687197327191681
3,295,0.25,2500,COUNT,Exact Query,2500.0,2500.0,0.0,2.949999998236308e-05,1.0,2500,2500.0,2500.0,0.0
3,295,0.25,2500,COUNT,Uniform Sampling,2500.0,2500.0,0.0,0.00024739999980738503,0.1,250,,,
3,295,0.25,2500,COUNT,Stratified Sampling,2500.0,2500.0,0.0,0.0022586000000046624,0.1,249,,,
3,295,0.25,2500,COUNT,Adaptive Sampling,2500.0,2500.0,0.0,0.0002440999996906612,0.05,125,2500.0,2500.0,0.0
3,295,0.25,2500,SUM,Exact Query,1041057.4400000001,1041057.4400000001,0.0,2.9199999971751822e-05,1.0,2500,1041057.4400000001,1041057.4400000001,0.0
3,295,0.25,2500,SUM,Uniform Sampling,1041057.4400000001,1042709.9,0.0015872899385839486,0.0002459000002090761,0.1,250,,,
3,295,0.25,2500,SUM,Stratified Sampling,1041057.4400000001,1025007.8093165206,0.015416662008082359,0.0023603999998158542,0.1,249,,,
3,295,0.25,2500,SUM,Adaptive Sampling,1041057.4400000001,1042709.9000000001,0.0015872899385840603,0.0006279999997786945,0.1,250,938800.22331504,1146619.5766849604,0.09965348625246595
3,295,0.25,2500,AVG,Exact Query,416.422976,416.422976,0.0,3.1599999601894524e-05,1.0,2500,416.422976,416.422976,0.0
3,295,0.25,2500,AVG,Uniform Sampling,416.422976,417.08396000000005,0.0015872899385840846,0.0002316999998583924,0.1,250,,,
3,295,0.25,2500,AVG,Stratified Sampling,416.422976,410.0031237266081,0.015416662008082576,0.0022958000004109635,0.1,249,,,
3,295,0.25,2500,AVG,Adaptive Sampling,416.422976,417.08396000000005,0.0015872899385840846,0.0006252000002859859,0.1,250,375.520089326016,458.6478306739841,0.09965348625246595
4,296,0.25,2500,COUNT,Exact Query,2500.0,2500.0,0.0,2.880000010918593e-05,1.0,2500,2500.0,2500.0,0.0
4,296,0.25,2500,COUNT,Uniform Sampling,2500.0,2500.0,0.0,0.00025550000009388896,0.1,250,,,
4,296,0.25,2500,COUNT,Stratified Sampling,2500.0,2500.0,0.0,0.0022773999999117223,0.1,248,,,
4,296,0.25,2500,COUNT,Adaptive Sampling,2500.0,2500.0,0.0,0.00024810000013530953,0.05,125,2500.0,2500.0,0.0
4,296,0.25,2500,SUM,Exact Query,1058891.43,1058891.43,0.0,2.89999998130952e-05,1.0,2500,1058891.43,1058891.43,0.0
4,296,0.25,2500,SUM,Uniform Sampling,1058891.43,1081924.0999999999,0.02175168232308758,0.0002347999998164596,0.1,250,,,
4,296,0.25,2500,SUM,Stratified Sampling,1058891.43,1111026.9492981303,0.04923594414030758,0.0023303999996642233,0.1,248,,,
4,296,0.25,2500,SUM,Adaptive Sampling,1058891.43,1021206.4000000001,0.03558913495031289,0.0009294999999838183,0.15000000000000002,375,921550.8087591241,1120861.9912408763,0.09758614051074886
4,296,0.25,2500,AVG,Exact Query,423.55657199999996,423.55657199999996,0.0,2.7499999760038918e-05,1.0,2500,423.55657199999996,423.55657199999996,0.0
4,296,0.25,2500,AVG,Uniform Sampling,423.55657199999996,432.76964000000004,0.021751682323087832,0.00025219999997716513,0.1,250,,,
4,296,0.25,2500,AVG,Stratified Sampling,423.55657199999996,444.4107797192522,0.049235944140307804,0.002268799999910698,0.1,248,,,
4,296,0.25,2500,AVG,Adaptive Sampling,423.55657199999996,408.48256000000003,0.03558913495031291,0.0009124000002884713,0.15000000000000002,375,368.6203235036496,448.34479649635045,0.09758614051074886
5,297,0.25,2500,COUNT,Exact Query,2500.0,2500.0,0.0,2.9199999971751822e-05,1.0,2500,2500.0,2500.0,0.0
5,297,0.25,2500,COUNT,Uniform Sampling,2500.0,2500.0,0.0,0.0002637999996295548,0.1,250,,,
5,297,0.25,2500,COUNT,Stratified Sampling,2500.0,2500.0,0.0,0.002276700000038545,0.1,248,,,
5,297,0.25,2500,COUNT,Adaptive Sampling,2500.0,2500.0,0.0,0.00026860000025408226,0.05,125,2500.0,2500.0,0.0
5,297,0.25,2500,SUM,Exact Query,1064870.01,1064870.01,0.0,3.0300000162242213e-05,1.0,2500,1064870.01,1064870.01,0.0
5,297,0.25,2500,SUM,Uniform Sampling,1064870.01,1061323.0,0.003330932383005142,0.00023839999994379468,0.1,250,,,
5,297,0.25,2500,SUM,Stratified Sampling,1064870.01,1102942.5129033343,0.035753192921016086,0.002331099999992148,0.1,248,,,
5,297,0.25,2500,SUM,Adaptive Sampling,1064870.01,1061323.0,0.003330932383005142,0.0006140999998933694,0.1,250,957328.3542527669,1165317.6457472332,0.09798585892064254
5,297,0.25,2500,AVG,Exact Query,425.948004,425.948004,0.0,3.820000029008952e-05,1.0,2500,425.948004,425.948004,0.0
